,composer_name,canonical_name,fastest_intervals,number_of_notes
941,Wolfgang Amadeus Mozart,"Sonata in B-flat Major, K. 570, 1st mov.","(68, 83.0)",218
942,Wolfgang Amadeus Mozart,"Sonata in B-flat Major, K.281","(603, 618.0)",219
943,Wolfgang Amadeus Mozart,"Sonata in C Major, K 330, I. Allegro moderato","(211, 226.0)",200
944,Wolfgang Amadeus Mozart,"Sonata in C Minor K457, First Movement","(193, 208.0)",193
945,Wolfgang Amadeus Mozart,"Sonata in C Minor, K. 457","(945, 960.0)",167
946,Wolfgang Amadeus Mozart,"Sonata in C Minor, K. 457, 1st mov.","(201, 216.0)",195
947,Wolfgang Amadeus Mozart,Sonata in D Major K576,"(38, 53.0)",212
948,Wolfgang Amadeus Mozart,"Sonata in D Major, K 284, First Movement","(51, 66.0)",252
949,Wolfgang Amadeus Mozart,"Sonata in D Major, K 576, First Movement","(43, 58.0)",195
950,Wolfgang Amadeus Mozart,"Sonata in D Major, K. 284, First Movement","(18, 33.0)",233
951,Wolfgang Amadeus Mozart,"Sonata in D Major, K. 311","(710, 725.0)",246
952,Wolfgang Amadeus Mozart,"Sonata in D Major, K. 576 (Complete)","(38, 53.0)",214
953,Wolfgang Amadeus Mozart,"Sonata in D Major, K. 576, I - Allegro","(38, 53.0)",208
954,Wolfgang Amadeus Mozart,"Sonata in D Major, K. 576, II - Adagio","(101, 116.0)",122
955,Wolfgang Amadeus Mozart,"Sonata in D Major, K.311","(603, 618.0)",249
956,Wolfgang Amadeus Mozart,"Sonata in D-Major, K. 311, First Movement","(114, 129.0)",235
957,Wolfgang Amadeus Mozart,Sonata in F K332,"(705, 720.0)",196
958,Wolfgang Amadeus Mozart,"Sonata in F Major, K 332 (Complete)","(717, 732.0)",200
959,Wolfgang Amadeus Mozart,"Sonata in F Major, K 332 (Complete)","(652, 667.0)",203
960,Wolfgang Amadeus Mozart,"Sonata in F Major, K280","(24, 39.0)",201
961,Wolfgang Amadeus Mozart,"Twelve Variations, K179 (189a)","(613, 628.0)",226
